tile_m	tile_n	tile_k	stages	split	occupancy	bottleneck	tc_ns	cuda_ns	sfu_ns	tmem_ns	smem_ns	l1_5_ns	l2_ns	ddr_ns	net_ns
16	128	16	3	1	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	3	2	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	3	4	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	3	8	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	3	16	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	4	1	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	4	2	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	4	4	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	4	8	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	4	16	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	5	1	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	5	2	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	5	4	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	5	8	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	16	5	16	2	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	2	1	2	smem	0	466.66665002372594	0	0	3985.0600486968942	0	922.08401126242734	3.5384000459804565	0
16	128	32	2	2	2	smem	0	466.66665002372594	0	0	3985.0600486968942	0	922.08401126242734	3.5384000459804565	0
16	128	32	2	4	2	smem	0	466.66665002372594	0	0	3985.0600486968942	0	922.08401126242734	3.5384000459804565	0
16	128	32	2	8	2	smem	0	466.66665002372594	0	0	3985.0600486968942	0	922.08401126242734	3.5384000459804565	0
16	128	32	2	16	2	smem	0	466.66665002372594	0	0	3985.0600486968942	0	922.08401126242734	3.5384000459804565	0
16	128	32	3	1	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	3	2	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	3	4	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	3	8	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	3	16	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	4	1	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	4	2	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	4	4	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	4	8	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	4	16	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	5	1	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	5	2	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	5	4	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	5	8	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	128	32	5	16	1	smem	0	233.33332501186297	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
16	256	16	2	1	2	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
16	256	16	2	2	2	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
16	256	16	2	4	2	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
16	256	16	2	8	2	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
16	256	16	2	16	2	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
16	256	16	3	1	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	3	2	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	3	4	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	3	8	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	3	16	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	4	1	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	4	2	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	4	4	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	4	8	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	4	16	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	5	1	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	5	2	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	5	4	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	5	8	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	16	5	16	1	smem	0	233.33332501186297	0	0	1881.8339118846445	0	435.42856087392403	1.6709111328241046	0
16	256	32	2	1	1	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
16	256	32	2	2	1	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
16	256	32	2	4	1	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
16	256	32	2	8	1	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
16	256	32	2	16	1	smem	0	466.66665002372594	0	0	3763.667823769289	0	870.85712174784805	3.3418222656482093	0
32	16	16	2	1	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	2	2	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	2	4	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	2	8	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	2	16	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	3	1	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	3	2	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	3	4	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	3	8	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	3	16	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	4	1	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	4	2	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	4	4	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	4	8	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	4	16	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	5	1	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	5	2	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	5	4	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	5	8	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	16	5	16	3	smem	0	87.499996879448602	0	0	996.26501217422356	0	230.52100281560683	0.88460001149511414	0
32	16	32	2	1	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	2	2	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	2	4	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	2	8	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	2	16	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	3	1	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	3	2	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	3	4	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	3	8	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	3	16	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	4	1	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	4	2	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	4	4	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	4	8	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	4	16	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	5	1	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	5	2	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	5	4	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	5	8	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	16	32	5	16	3	smem	0	174.9999937588972	0	0	1992.5300243484471	0	461.04200563121367	1.7692000229902283	0
32	32	8	2	1	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	2	2	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	2	4	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	2	8	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	2	16	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	3	1	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	3	2	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	3	4	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	3	8	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	3	16	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	4	1	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	4	2	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	4	4	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	4	8	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	4	16	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	5	1	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	5	2	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	5	4	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	5	8	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	8	5	16	3	smem	0	87.499996879448602	0	0	664.17667478281578	0	153.68066854373791	0.58973334099674279	0
32	32	16	2	1	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	2	2	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	2	4	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	2	8	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	2	16	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	3	1	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	3	2	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	3	4	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	3	8	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	3	16	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	4	1	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	4	2	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	4	4	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	4	8	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	4	16	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	5	1	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	5	2	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	5	4	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	5	8	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	16	5	16	2	smem	0	116.66666250593148	0	0	885.56889971042096	0	204.90755805831719	0.78631112132899039	0
32	32	32	2	1	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	2	2	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	2	4	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	2	8	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	2	16	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	3	1	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	3	2	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	3	4	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	3	8	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	3	16	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
32	32	32	4	1	2	smem	0	233.33332501186297	0	0	1771.1377994208419	0	409.81511611663439	1.5726222426579808	0
